id_subject,subjects
50,subjects_1
51,subjects_2
52,subjects_3
53,subjects_4
54,subjects_5
55,subjects_6
56,subjects_7
57,subjects_8
58,subjects_9
59,subjects_10
60,subjects_11
61,subjects_12
62,subjects_13
63,subjects_14
64,subjects_15
65,subjects_16
66,subjects_17
67,subjects_18
68,subjects_19
69,subjects_20
70,subjects_21
71,subjects_22
72,subjects_23
73,subjects_24
74,subjects_25
75,subjects_26
76,subjects_27
77,subjects_28
78,subjects_29
79,subjects_30
80,subjects_31
81,subjects_32
82,subjects_33
83,subjects_34
84,subjects_35
85,subjects_36
86,subjects_37
87,subjects_38
88,subjects_39
89,subjects_40
90,subjects_41
91,subjects_42
92,subjects_43
93,subjects_44
94,subjects_45
95,subjects_46
96,subjects_47
97,subjects_48
98,subjects_49
99,subjects_50